index,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,UTILITY_AVAIL,MZZONE,SALES_PRICE,PROPERTY_AGE,BUILDTYPE_commercial,BUILDTYPE_house,BUILDTYPE_others,AREA_INT_SQFT,AREA_N_ROOM
2006-09-05,P09588,5.0,1626.0,37.0,4.0,2.0,1.0,1966-09-15,1.0,2.0,9092600.0,39.97262149212868,0.0,0.0,1.0,8130.0,20.0
2006-09-06,P09585,5.0,1857.0,14.0,5.0,3.0,1.0,1998-09-08,3.0,5.0,16185010.0,7.994524298425736,1.0,0.0,0.0,9285.0,25.0
2006-09-07,P09570,5.0,1930.0,140.0,5.0,5.0,0.0,1962-10-09,1.0,6.0,11853530.0,43.912388774811774,0.0,0.0,1.0,9650.0,25.0
2006-09-08,P09581,5.0,1986.0,101.0,5.0,1.0,0.0,1952-09-21,4.0,6.0,10360480.0,53.96303901437371,0.0,0.0,1.0,9930.0,25.0
2006-09-09,P09580,5.0,1559.0,107.0,4.0,5.0,1.0,1958-09-21,4.0,2.0,12999460.0,47.96714579055441,1.0,0.0,0.0,7795.0,20.0
2006-09-10,P09579,5.0,1953.0,106.0,5.0,2.0,1.0,1953-09-23,1.0,2.0,8916410.0,52.9637234770705,0.0,0.0,1.0,9765.0,25.0
2006-09-11,P09578,5.0,1893.0,70.0,5.0,2.0,1.0,1975-09-19,3.0,2.0,9995770.0,30.978781656399725,0.0,0.0,1.0,9465.0,25.0
2006-09-12,P09569,5.0,1851.0,100.0,5.0,1.0,0.0,1990-10-02,1.0,6.0,11144770.0,15.945242984257359,0.0,0.0,1.0,9255.0,25.0
2006-09-13,P09571,5.0,1651.0,57.0,4.0,3.0,0.0,1999-09-30,2.0,1.0,12101540.0,6.954140999315538,1.0,0.0,0.0,8255.0,20.0
2006-09-14,P09565,5.0,1697.0,153.0,4.0,2.0,1.0,1958-10-15,3.0,6.0,11750710.0,47.9151266255989,0.0,0.0,1.0,8485.0,20.0
2006-09-15,P09577,5.0,1635.0,35.0,4.0,5.0,1.0,1971-09-24,1.0,4.0,13836800.0,34.97604380561259,1.0,0.0,0.0,8175.0,20.0
2006-09-16,P09576,5.0,1901.0,40.0,5.0,1.0,0.0,1958-09-28,1.0,3.0,9446410.0,47.96714579055441,0.0,0.0,1.0,9505.0,25.0
2006-09-17,P09576,5.0,1901.0,40.0,5.0,1.0,0.0,1958-09-28,1.0,3.0,9446410.0,47.96714579055441,0.0,0.0,1.0,9505.0,25.0
2006-09-18,P09575,5.0,1903.0,2.0,5.0,4.0,1.0,1979-09-25,2.0,2.0,15326290.0,26.981519507186857,1.0,0.0,0.0,9515.0,25.0
2006-09-19,P09575,5.0,1903.0,2.0,5.0,4.0,1.0,1979-09-25,2.0,2.0,15326290.0,26.981519507186857,1.0,0.0,0.0,9515.0,25.0
2006-09-20,P09575,5.0,1903.0,2.0,5.0,4.0,1.0,1979-09-25,2.0,2.0,15326290.0,26.981519507186857,1.0,0.0,0.0,9515.0,25.0
2006-09-21,P09573,5.0,1904.0,68.0,5.0,2.0,1.0,1955-10-04,1.0,3.0,9991620.0,50.965092402464066,0.0,0.0,1.0,9520.0,25.0
2006-09-22,P09559,3.0,961.0,31.0,3.0,3.0,1.0,1988-10-16,4.0,5.0,9198300.0,17.932922655715263,0.0,1.0,0.0,2883.0,9.0
2006-09-23,P09560,7.0,1770.0,149.0,4.0,5.0,1.0,1983-10-18,1.0,5.0,20212910.0,22.93223819301848,1.0,0.0,0.0,12390.0,28.0
2006-09-24,P09557,2.0,901.0,106.0,3.0,1.0,0.0,1969-10-21,4.0,3.0,7643255.0,36.92539356605065,0.0,0.0,1.0,1802.0,6.0
2006-09-25,P09572,5.0,1505.0,89.0,4.0,2.0,1.0,1957-10-07,4.0,2.0,12150830.0,48.96646132785763,1.0,0.0,0.0,7525.0,20.0
2006-09-26,P09558,3.0,837.0,172.0,3.0,4.0,1.0,1988-10-16,3.0,4.0,10563700.0,17.94387405886379,1.0,0.0,0.0,2511.0,9.0
2006-09-27,P09555,6.0,1694.0,97.0,4.0,3.0,0.0,1969-10-22,1.0,4.0,12261610.0,36.930869267624914,0.0,0.0,1.0,10164.0,24.0
2006-09-28,P09568,5.0,1543.0,42.0,4.0,3.0,1.0,1963-10-09,1.0,2.0,8379110.0,42.97056810403833,0.0,0.0,1.0,7715.0,20.0
2006-09-29,P09549,3.0,1293.0,73.0,4.0,3.0,1.0,1990-10-20,2.0,4.0,14017800.0,15.942505133470226,1.0,0.0,0.0,3879.0,12.0
2006-09-30,P09539,2.0,1089.0,82.0,3.0,2.0,1.0,1985-10-24,3.0,3.0,8585715.0,20.933607118412045,0.0,0.0,1.0,2178.0,6.0
2006-10-01,P09540,3.0,1203.0,78.0,4.0,5.0,1.0,1978-10-26,4.0,6.0,14938000.0,27.9315537303217,1.0,0.0,0.0,3609.0,12.0
2006-10-02,P09538,3.0,1274.0,195.0,4.0,1.0,0.0,2000-10-21,4.0,6.0,11289880.0,5.946611909650924,0.0,0.0,1.0,3822.0,12.0
2006-10-03,P09566,5.0,1543.0,55.0,4.0,4.0,0.0,1959-10-15,1.0,6.0,12900790.0,46.9678302532512,1.0,0.0,0.0,7715.0,20.0
2006-10-04,P09534,2.0,1051.0,38.0,3.0,5.0,0.0,1978-10-28,1.0,2.0,8090620.0,27.93429158110883,0.0,0.0,1.0,2102.0,6.0
2006-10-05,P09533,5.0,1999.0,45.0,5.0,5.0,1.0,1988-10-25,2.0,6.0,18298710.0,17.94387405886379,1.0,0.0,0.0,9995.0,25.0
2006-10-06,P09529,2.0,856.0,144.0,3.0,3.0,1.0,1999-10-26,4.0,5.0,9893805.0,6.945927446954141,0.0,1.0,0.0,1712.0,6.0
2006-10-07,P09522,5.0,1552.0,45.0,4.0,2.0,0.0,1988-10-30,3.0,3.0,11881010.0,17.935660506502394,1.0,0.0,0.0,7760.0,20.0
2006-10-08,P09524,3.0,1014.0,83.0,3.0,5.0,1.0,1971-11-04,3.0,5.0,9176650.0,34.926762491444215,0.0,1.0,0.0,3042.0,9.0
2006-10-09,P09524,3.0,1014.0,83.0,3.0,5.0,1.0,1971-11-04,3.0,5.0,9176650.0,34.926762491444215,0.0,1.0,0.0,3042.0,9.0
2006-10-10,P09563,3.0,833.0,173.0,3.0,1.0,0.0,2001-10-11,2.0,4.0,9890550.0,4.996577686516085,1.0,0.0,0.0,2499.0,9.0
2006-10-11,P09516,5.0,1524.0,38.0,4.0,4.0,0.0,1975-11-06,3.0,4.0,8687220.0,30.92950034223135,0.0,1.0,0.0,7620.0,20.0
2006-10-12,P09556,2.0,779.0,51.0,2.0,4.0,0.0,1997-10-14,3.0,2.0,5290635.0,8.993839835728952,0.0,1.0,0.0,1558.0,4.0
2006-10-13,P09554,2.0,887.0,7.0,3.0,3.0,1.0,1997-10-15,1.0,3.0,11435335.0,8.993839835728952,1.0,0.0,0.0,1774.0,6.0
2006-10-14,P09552,7.0,1667.0,6.0,4.0,1.0,0.0,2000-10-15,1.0,4.0,11402380.0,5.9958932238193015,0.0,0.0,1.0,11669.0,28.0
2006-10-15,P09551,7.0,1722.0,166.0,4.0,3.0,0.0,1992-10-18,3.0,4.0,12030980.0,13.990417522245037,0.0,1.0,0.0,12054.0,28.0
2006-10-16,P09550,6.0,1562.0,8.0,4.0,4.0,1.0,1990-10-20,3.0,6.0,19971770.0,15.989048596851472,1.0,0.0,0.0,9372.0,24.0
2006-10-17,P09545,2.0,985.0,50.0,3.0,1.0,0.0,1975-10-25,2.0,5.0,11903865.0,30.978781656399725,1.0,0.0,0.0,1970.0,6.0
2006-10-18,P09544,6.0,1721.0,171.0,4.0,3.0,0.0,1975-10-26,1.0,4.0,11327800.0,30.978781656399725,0.0,0.0,1.0,10326.0,24.0
2006-10-19,P09541,6.0,1864.0,67.0,5.0,2.0,0.0,1967-10-29,3.0,6.0,20691780.0,38.97330595482546,1.0,0.0,0.0,11184.0,30.0
2006-10-20,P09537,2.0,1182.0,187.0,3.0,3.0,1.0,1977-10-27,2.0,6.0,15389035.0,28.980150581793293,1.0,0.0,0.0,2364.0,6.0
2006-10-21,P09536,6.0,1847.0,30.0,5.0,3.0,1.0,1994-10-24,1.0,6.0,15356550.0,11.991786447638603,0.0,0.0,1.0,11082.0,30.0
2006-10-22,P09531,3.0,1058.0,19.0,3.0,1.0,1.0,1971-10-31,2.0,4.0,7545650.0,34.97604380561259,0.0,1.0,0.0,3174.0,9.0
2006-10-23,P09530,3.0,1047.0,42.0,3.0,3.0,1.0,1969-11-01,3.0,5.0,9051140.0,36.97467488021903,0.0,0.0,1.0,3141.0,9.0
2006-10-24,P09528,5.0,1796.0,176.0,4.0,5.0,1.0,1956-11-05,1.0,4.0,9105350.0,49.96577686516085,0.0,1.0,0.0,8980.0,20.0
2006-10-25,P09526,3.0,832.0,98.0,3.0,3.0,1.0,1989-10-29,1.0,5.0,8448350.0,16.98836413415469,0.0,1.0,0.0,2496.0,9.0
2006-10-26,P09523,2.0,764.0,105.0,2.0,5.0,1.0,1979-11-02,4.0,2.0,6472305.0,26.981519507186857,0.0,1.0,0.0,1528.0,4.0
2006-10-27,P09520,2.0,713.0,60.0,2.0,5.0,0.0,1969-11-05,3.0,3.0,7148255.0,36.97467488021903,0.0,0.0,1.0,1426.0,4.0
2006-10-28,P09519,6.0,1692.0,128.0,4.0,1.0,0.0,1990-11-01,1.0,4.0,17874820.0,15.989048596851472,1.0,0.0,0.0,10152.0,24.0
2006-10-29,P09517,5.0,1794.0,158.0,4.0,5.0,0.0,1977-11-05,1.0,4.0,10485480.0,28.980150581793293,0.0,0.0,1.0,8970.0,20.0
2006-10-30,P09515,7.0,1743.0,197.0,4.0,3.0,0.0,1963-11-10,1.0,6.0,19954710.0,42.97056810403833,1.0,0.0,0.0,12201.0,28.0
2006-10-31,P09509,3.0,824.0,166.0,3.0,5.0,1.0,2000-11-01,3.0,5.0,11570100.0,5.9958932238193015,1.0,0.0,0.0,2472.0,9.0
2006-11-01,P09506,5.0,1890.0,66.0,5.0,2.0,1.0,1999-11-03,3.0,3.0,15850840.0,6.995208761122519,1.0,0.0,0.0,9450.0,25.0
2006-11-02,P09513,3.0,1031.0,42.0,3.0,5.0,0.0,1992-11-02,4.0,4.0,12669300.0,13.998631074606434,1.0,0.0,0.0,3093.0,9.0
2006-11-03,P09505,5.0,1944.0,2.0,5.0,3.0,0.0,1965-11-13,4.0,3.0,8836970.0,40.9719370294319,0.0,1.0,0.0,9720.0,25.0
2006-11-04,P09512,2.0,831.0,139.0,3.0,2.0,0.0,1993-11-02,3.0,5.0,7713895.0,13.00479123887748,0.0,0.0,1.0,1662.0,6.0
2006-11-05,P09514,3.0,1002.0,70.0,3.0,3.0,1.0,1998-11-01,2.0,6.0,9927740.0,8.010951403148528,0.0,0.0,1.0,3006.0,9.0
