,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,record_count,multiple_records
2006-09-05,P09588,Velachery,1626,37,2.0,1.0,4,family,yes,1966-09-15,others,elo,gravel,c,3.4,4.0,3.2,3.61,309148,100019,9092600,1,0
2006-09-06,P09585,Velachery,1857,14,3.0,2.0,5,abnormal,yes,1998-09-08,commercial,nosewr ,no access,rl,4.2,3.1,3.3,3.44,631215,161850,16185010,1,0
2006-09-07,P09570,Velachery,1930,140,3.0,2.0,5,adjland,no,1962-10-09,others,elo,gravel,rm,3.9,2.2,3.0,2.87,355606,248924,11853530,1,0
2006-09-08,P09581,Velachery,1986,101,3.0,2.0,5,partial,no,1952-09-21,others,allpub,no access,rm,3.0,2.4,2.8,2.67,404059,103605,10360480,1,0
2006-09-09,P09580,Velachery,1559,107,2.0,1.0,4,adjland,yes,1958-09-21,commercial,allpub,paved,c,2.5,4.7,4.7,4.15,415983,181992,12999460,1,0
2006-09-10,P09579,Velachery,1953,106,3.0,2.0,5,family,yes,1953-09-23,others,elo,no access,c,3.0,3.6,3.6,3.45,294242,151579,8916410,1,0
2006-09-11,P09578,Velachery,1893,70,3.0,2.0,5,family,yes,1975-09-19,others,nosewr ,paved,c,2.9,3.7,4.8,3.83,389835,209911,9995770,1,0
2006-09-12,P09569,Velachery,1851,100,3.0,2.0,5,partial,no,1990-10-02,others,elo,paved,rm,4.7,3.7,4.7,4.25,356633,200606,11144770,1,0
2006-09-13,P09571,Velachery,1651,57,2.0,1.0,4,abnormal,no,1999-09-30,commercial,nosewa,paved,a,3.0,4.0,3.3,3.54,423554,145218,12101540,1,0
2006-09-14,P09565,Velachery,1697,153,2.0,1.0,4,family,yes,1958-10-15,others,nosewr ,gravel,rm,3.6,4.6,4.8,4.41,411275,141009,11750710,1,0
2006-09-15,P09577,Velachery,1635,35,2.0,1.0,4,adjland,yes,1971-09-24,commercial,elo,no access,rh,2.1,3.5,4.7,3.51,511962,138368,13836800,1,0
2006-09-16,P09576,Velachery,1901,40,3.0,2.0,5,partial,no,1958-09-28,others,elo,gravel,i,3.3,3.5,5.0,3.9,302285,160589,9446410,1,0
2006-09-18,P09575,Velachery,1903,2,3.0,2.0,5,normal sale,yes,1979-09-25,commercial,nosewa,gravel,c,3.1,2.2,2.2,2.43,597725,245221,15326290,1,0
2006-09-21,P09573,Velachery,1904,68,3.0,2.0,5,family,yes,1955-10-04,others,elo,paved,i,3.1,3.7,2.8,3.28,329723,169858,9991620,1,0
2006-09-22,P09559,Chrompet,961,31,1.0,1.0,3,abnormal,yes,1988-10-16,house,allpub,paved,rl,4.8,4.7,2.4,4.04,229958,73586,9198300,1,0
2006-09-23,P09560,T Nagar,1770,149,1.0,1.0,4,adjland,yes,1983-10-18,commercial,elo,no access,rl,3.9,3.6,2.5,3.195,687239,101065,20212910,1,0
2006-09-24,P09557,Adyar,901,106,1.0,1.0,3,partial,no,1969-10-21,others,allpub,gravel,i,4.6,4.8,4.6,4.64,267514,84076,7643255,1,0
2006-09-25,P09572,Velachery,1505,89,2.0,1.0,4,family,yes,1957-10-07,commercial,allpub,paved,c,3.0,4.1,3.8,3.74,449581,230866,12150830,1,0
2006-09-26,P09558,Chrompet,837,172,1.0,1.0,3,normal sale,yes,1988-10-16,commercial,nosewr ,no access,rh,4.5,2.1,4.8,3.63,338038,137328,10563700,1,0
2006-09-27,P09555,Anna Nagar,1694,97,1.0,1.0,4,abnormal,no,1969-10-22,others,elo,gravel,rh,2.2,2.9,4.6,3.335,416895,73570,12261610,1,0
2006-09-28,P09568,Velachery,1543,42,2.0,1.0,4,abnormal,yes,1963-10-09,others,elo,paved,c,4.9,2.9,4.2,3.79,284890,117308,8379110,1,0
2006-09-29,P09549,Chrompet,1293,73,2.0,1.0,4,abnormal,yes,1990-10-20,commercial,nosewa,no access,rh,3.5,2.7,5.0,3.63,392498,168214,14017800,1,0
